Method,Approach,Solver,Objective,Time,Status,User_time,NT
GDPopt,LOA,baron,3.200953133694217,6.032449700403959,optimal,NA,14
GDPopt,GLOA,baron,2.8379806028639485,649.6800315002911,optimal,NA,14
GDPopt,LBB,baron,9.894736842105251,900.1761233997531,maxTimeLimit,NA,14
MINLP,bigm,antigone,nan,0.08600021246820688,infeasible,NA,17
MINLP,hull,antigone,3.0072779739417017,899.9269999098033,optimal,NA,17
MINLP,bigm,baron,2.8152671907440983,900.296999537386,optimal,NA,17
MINLP,hull,baron,2.815267337597686,900.3659999929368,optimal,NA,17
MINLP,bigm,scip,2.81526699758555,901.0769999586046,optimal,NA,17
MINLP,hull,scip,2.8218845566794566,900.8389995899051,optimal,NA,17
MINLP,bigm,dicopt,2.815267312386302,205.67800013814121,optimal,NA,17
MINLP,hull,dicopt,2.815267332699405,168.74099972192198,optimal,NA,17
MINLP,bigm,sbb,2.8152665212666586,154.38099978491664,optimal,NA,17
MINLP,hull,sbb,2.81526717588997,30.327000562101603,optimal,NA,17
GDPopt,LOA,msnlp,3.356175235201591,8.115273099858314,optimal,NA,17
GDPopt,GLOA,msnlp,2.8152669259421907,901.0834448002279,maxTimeLimit,NA,17
GDPopt,LBB,msnlp,9.894736842105203,900.4833476999775,maxTimeLimit,NA,17
GDPopt,LOA,knitro,3.5225872318797884,94.67008929979056,optimal,NA,17
GDPopt,GLOA,knitro,3.5225872318797884,214.33301289984956,optimal,NA,17
GDPopt,LBB,knitro,9.894736842105203,900.5787269999273,maxTimeLimit,NA,17
GDPopt,LOA,baron,3.3561480289936725,4.415206199977547,optimal,NA,17
GDPopt,GLOA,baron,2.815266967013004,900.2908426001668,maxTimeLimit,NA,17
GDPopt,LBB,baron,9.894736842105203,900.3911192002706,maxTimeLimit,NA,17
MINLP,bigm,antigone,nan,0.10299996938556433,infeasible,NA,18
MINLP,hull,antigone,3.0620145766185187,899.7030000435188,optimal,NA,18
MINLP,bigm,baron,2.8093885104553524,900.1560000004247,optimal,NA,18
MINLP,hull,baron,2.8093885374750425,900.2520000329241,optimal,NA,18
MINLP,bigm,scip,2.809388225735275,901.0310002835467,optimal,NA,18
MINLP,hull,scip,2.8152654963535797,900.9249998023733,optimal,NA,18
MINLP,bigm,dicopt,2.809388154401763,346.41300046350807,optimal,NA,18
MINLP,hull,dicopt,2.80938853762835,341.62200037389994,optimal,NA,18
MINLP,bigm,sbb,2.8093885337356257,85.71299943141639,optimal,NA,18
MINLP,hull,sbb,2.8093885185620593,32.84599967300892,optimal,NA,18
GDPopt,LOA,msnlp,2.809388537645331,11.517497499939054,optimal,NA,18
GDPopt,GLOA,msnlp,2.809388537645331,900.326458199881,maxTimeLimit,NA,18
GDPopt,LBB,msnlp,9.894736842105251,900.5850740000606,maxTimeLimit,NA,18
GDPopt,LOA,knitro,9.894736975446024,260.5497198998928,optimal,NA,18
GDPopt,GLOA,knitro,9.894736975446024,260.61867969995365,optimal,NA,18
GDPopt,LBB,knitro,9.894736842105251,900.5217333002947,maxTimeLimit,NA,18
GDPopt,LOA,baron,3.407906186835204,7.24777889996767,optimal,NA,18
GDPopt,GLOA,baron,2.809388165010719,904.0676293997094,maxTimeLimit,NA,18
GDPopt,LBB,baron,9.894736842105251,900.2896142001264,maxTimeLimit,NA,18
MINLP,bigm,antigone,nan,0.11299978941679001,infeasible,NA,21
MINLP,hull,antigone,3.007277974288678,899.9530005734414,optimal,NA,21
MINLP,bigm,baron,2.795133348624987,900.1629999373108,optimal,NA,21
MINLP,hull,baron,2.7951334164081727,900.2030004747212,optimal,NA,21
MINLP,bigm,scip,2.795133111306381,901.088999491185,optimal,NA,21
MINLP,hull,scip,2.7951334088930793,901.5980002004653,optimal,NA,21
MINLP,bigm,dicopt,2.7951334065705877,637.9089997150004,optimal,NA,21
MINLP,hull,dicopt,3.5277538210640778,2.7039998676627874,optimal,NA,21
